timestamp,underlying_price,delta,gamma,vega,volga,mark_price
2025-04-18 00:00:02,84949.17713117,0.005170647849776,3.0770670224346784e-06,90.57632460554123,651.0100632529175,8.52012641
2025-04-18 00:00:07,84950.02255718,0.005181764275306366,3.0827415089168043e-06,90.73678129137215,651.6134883566774,8.54100114
2025-04-18 00:00:12,84949.70321369,0.005183216648020683,3.0833568058395646e-06,90.75724950362064,651.659216767468,8.5440703
2025-04-18 00:00:17,84949.56273813,0.005186388659810914,3.0848636398171994e-06,90.8025807267536,651.8018026585814,8.55033179
2025-04-18 00:00:22,84957.58547128,0.005226035033224885,3.106563242246199e-06,91.37984396821957,654.3302893548171,8.62082731
2025-04-18 00:00:27,84965.57483325,0.005241602521072919,3.116519248626574e-06,91.61187208219098,655.6954030802299,8.64461308
2025-04-18 00:00:32,84965.0109624,0.005197239428239853,3.094701666498024e-06,90.97572504072014,653.5153324091589,8.55906311
2025-04-18 00:00:37,84965.33381664,0.0051639256623213226,3.078511733625418e-06,90.4979152987753,651.9225960518852,8.49432204
2025-04-18 00:00:42,84965.55085829,0.005135613596751409,3.064716961574416e-06,90.09112554468584,650.5554386137665,8.43941535
2025-04-18 00:00:47,84965.021314,0.005109796942805778,3.0519116280900284e-06,89.71887996810801,649.2460108701125,8.38997159
2025-04-18 00:00:52,84979.72435104,0.005138158427016204,3.070106538434795e-06,90.14312527894481,651.7636187335738,8.46959302
2025-04-18 00:00:57,84980.65212366,0.005159875368808242,3.081023971739734e-06,90.45653862521795,652.8995027328419,8.47437888
2025-04-18 00:01:02,84981.98,0.005191951542663387,3.0971222426978988e-06,90.91880908257144,654.565769243869,8.53530996
2025-04-18 00:01:07,84981.71700741,0.005206702414738418,3.104260911325886e-06,91.13018196725852,655.2613692127379,8.56404933
2025-04-18 00:01:12,84989.99160479,0.005258669077765399,3.132120160616249e-06,91.8840142650156,658.4084508968954,8.65799975
2025-04-18 00:01:17,84990.60183617,0.0052699649917687386,3.1378183996055788e-06,92.04631411662422,658.997607047495,8.67939102
2025-04-18 00:01:22,84990.81000103,0.005279925194797808,3.1427422482419596e-06,92.18897415946367,659.4904467613196,8.69852668
2025-04-18 00:01:27,84993.3365,0.005294238534661322,3.150484853254085e-06,92.39642634127313,660.3708727143749,8.72422207
2025-04-18 00:01:32,84992.83854183,0.0052894632655201,3.1480054671461223e-06,92.32762407786004,660.1041954655411,8.71536843
2025-04-18 00:01:37,84992.76803341,0.005289298620887728,3.1479039439430564e-06,92.32519040789202,660.0908367917873,8.7151066
2025-04-18 00:01:42,84992.13073659,0.005287709837196841,3.146937259422837e-06,92.30175485136306,659.9652879688583,8.71254487
2025-04-18 00:01:47,84991.41641112,0.005289150596246295,3.1474255053105674e-06,92.32152294860089,659.978340574904,8.71591988
2025-04-18 00:01:52,84991.66761459,0.005296658248601427,3.151162978081725e-06,92.42907097741045,660.3559278359717,8.73027525
2025-04-18 00:01:57,84991.78012968,0.005301066395674903,3.153346469635549e-06,92.4921597663456,660.5746528926029,8.73873425
2025-04-18 00:02:02,84992.03207827,0.005304776188672478,3.15523115233392e-06,92.54542538959868,660.7708757421569,8.74572567
2025-04-18 00:02:07,84990.29431738,0.005300034208459925,3.152395952159379e-06,92.47570132962073,660.4094560641097,8.73794433
2025-04-18 00:02:12,84991.80987675,0.005314584643955289,3.159945187537804e-06,92.68518021372029,661.2195898828759,8.76494107
2025-04-18 00:02:17,84999.74456598,0.005373593499410856,3.19108494534445e-06,93.53551102177698,664.6292138243189,8.87302113
2025-04-18 00:02:22,84999.72011536,0.005358382891683056,3.18367493929613e-06,93.31890223442406,663.9117431578452,8.84348263
2025-04-18 00:02:27,84999.88671763,0.0053469611257081495,3.178163858164534e-06,93.15635714823429,663.3860419884295,8.82116056
2025-04-18 00:02:32,84999.95689394,0.005336754060331572,3.1732126461683113e-06,93.01092582515275,662.9089545506395,8.80128595
2025-04-18 00:02:37,85000.5,0.00532977156658615,3.1699743381480283e-06,92.91197004684591,662.6208156213215,8.78728791
2025-04-18 00:02:42,85010.08410449,0.005370866717633982,3.192913250257487e-06,93.50889240329843,665.3163115795178,8.85914942
2025-04-18 00:02:47,85011.44990022,0.005353204598791739,3.1847238328115213e-06,93.25883746898126,664.5904132411306,8.82373692
2025-04-18 00:02:52,85013.47296459,0.00535607492054202,3.186739829703325e-06,93.30209957096895,664.8853363344606,8.82763439
2025-04-18 00:02:57,85013.9505879,0.005343988014972045,3.1809912851308642e-06,93.1303140108912,664.3507421533322,8.80379655
2025-04-18 00:03:02,84995.59036226,0.0052726176507258415,3.1406090323945308e-06,92.08992686023794,659.5129486298392,8.68048561
2025-04-18 00:03:07,84969.00315758,0.005131348219286569,3.063634656846507e-06,90.0335099601275,650.6098661253382,8.42846344
2025-04-18 00:03:12,84965.12172676,0.005181964725475108,3.0872704313904763e-06,90.75670588379444,652.7836235075374,8.52939737
2025-04-18 00:03:17,84966.18741862,0.005225928623502074,3.109055526118751e-06,91.38820607530897,654.9901508891235,8.61372029
2025-04-18 00:03:22,84966.64780995,0.005254507063995828,3.1231288106979788e-06,91.79770701696634,656.3964426641069,8.66879044
2025-04-18 00:03:27,84966.23943351,0.005272608381474753,3.1318259798220765e-06,92.05596116273182,657.228615808981,8.70426807
2025-04-18 00:03:32,84966.72881242,0.005291839417859379,3.1413340529984953e-06,92.3311536439237,658.1809642257504,8.74123802
2025-04-18 00:03:37,84965.21789124,0.00529869629492824,3.1442179846479738e-06,92.42721275674967,658.3881551250997,8.75579987
