timestamp,underlying_price,mark_price,mark_iv,delta,gamma,vega,theta,rho,vanna,volga
2025-04-24 11:30:04.540,93302.54051218,800.90664025,0.37835812,0.6004651459660195,0.00030389568923211083,1689.1254772106222,0.0,138.3162140264701,-0.21726787431089178,169.2914283113787
2025-04-24 11:30:09.540,93303.16082115,801.54349509,0.37835812,0.6007450073927316,0.00030373755540890127,1688.9231045175584,0.0,138.380048387342,-0.21788567410720816,170.25939314033894
2025-04-24 11:30:14.540,93297.45857142,798.13290178,0.37835812,0.5990126921187624,0.00030507625132674895,1690.1528886869528,0.0,138.10843512386992,-0.21433620535384534,164.2879812395695
2025-04-24 11:30:19.540,93296.16939972,797.91969984,0.37835812,0.5988129807454925,0.00030535326054417083,1690.2885892720842,0.0,138.1190760044445,-0.214020296257047,163.5972873200517
2025-04-24 11:30:24.540,93295.77852297,798.55084154,0.37835812,0.5989934718183854,0.0003054041913645271,1690.1541304802668,0.0,138.2123427923577,-0.21453811880110152,164.20427947134885
2025-04-24 11:30:29.540,93295.60073105,799.26379828,0.37835812,0.599222948595493,0.00030540702340914674,1689.984251667891,0.0,138.30980102551948,-0.215148774356976,164.98670234206656
2025-04-24 11:30:34.540,93295.79291206,800.09275251,0.37835812,0.5995285978414024,0.0003053275179836189,1689.7603368807977,0.0,138.41122175081705,-0.21589802632149713,166.03844562533777
2025-04-24 11:30:39.540,93290.69751505,797.54990939,0.37835812,0.5981458500380441,0.0003065086849619973,1690.7236595782015,0.0,138.23294595915777,-0.21313301427721854,161.31338491603674
2025-04-24 11:30:44.540,93288.0885199,797.62755593,0.37835812,0.5979128718621318,0.0003070505386184412,1690.86253361524,0.0,138.3197225946973,-0.21292334861357176,160.54006516866502
2025-04-24 11:30:49.540,93287.32332937,799.32928714,0.37835812,0.598425040508733,0.0003071302190004524,1690.4698275901828,0.0,138.56183705417803,-0.21434030938712567,162.33615858676785
2025-04-24 11:30:54.540,93286.54379618,798.2059097,0.37835812,0.5979582979811582,0.0003073470930441517,1690.8064512372257,0.0,138.43972228646902,-0.2132654257023887,160.72670419154747
2025-04-24 11:30:59.540,93289.8624703,799.91956601,0.37835812,0.5988828291822372,0.00030657044497017436,1690.166010287583,0.0,138.5635330344871,-0.2151330677296528,163.87456656819268
2025-04-24 11:31:04.540,93286.59024884,796.66678461,0.37835812,0.5974299339285807,0.00030741006725615305,1691.1974256206377,0.0,138.23949923675076,-0.21191209928844046,158.90548540385498
2025-04-24 11:31:09.540,93287.09434545,796.99427989,0.37835812,0.5975939793867973,0.00030728885491182814,1691.0838293243687,0.0,138.26705175369747,-0.2122564414028716,159.45983457396505
2025-04-24 11:31:14.540,93272.22708194,788.00200386,0.37835812,0.592949549361272,0.00031085367569074623,1694.202895729948,0.0,137.53558422029943,-0.20254073297854802,144.14515121711884
2025-04-24 11:31:19.540,93271.01381802,789.48282136,0.37835812,0.5933396722013207,0.00031104581357960584,1693.9116857420413,0.0,137.76329854931174,-0.2037102997887814,145.42641581046337
2025-04-24 11:31:24.540,93269.38573901,790.59127232,0.37835812,0.593555339184455,0.00031134427855690483,1693.729129674386,0.0,137.95425469606815,-0.20449154313223517,146.18164998813882
2025-04-24 11:31:29.540,93270.55491552,793.47656441,0.37835812,0.5946801652250855,0.0003109608187583622,1692.934420467198,0.0,138.29384191018224,-0.20720118135437815,149.95666613172216
2025-04-24 11:31:34.540,93270.75467927,794.90645713,0.37835812,0.5951967142707382,0.00031085181014224236,1692.5553377121396,0.0,138.47269517126085,-0.2084921691696877,151.74050600492046
2025-04-24 11:31:39.540,93270.53528261,795.76083291,0.37835812,0.5954695124332403,0.00031085919469799744,1692.3449737016927,0.0,138.58918028538739,-0.20921962648520775,152.71366518217837
2025-04-24 11:31:44.540,93270.53047293,796.57553494,0.37835812,0.5957507938889357,0.00031082230705655606,1692.1317357539156,0.0,138.69426480380636,-0.20993826534748905,153.71278436551802
2025-04-24 11:31:49.540,93269.11144796,796.35450945,0.37835812,0.5955253065623154,0.0003111373541324347,1692.2651333796894,0.0,138.7065829004093,-0.20956275997843932,153.01142035107478
2025-04-24 11:31:54.540,93262.97129668,789.01942582,0.37835812,0.5923302110971207,0.0003127988331726485,1694.4759660116033,0.0,137.9355219414604,-0.202254751117664,142.32090523064835
2025-04-24 11:31:59.540,93261.36416275,787.1260022,0.37835812,0.5914988682254361,0.0003132326039268704,1695.0333112555782,0.0,137.73612491998657,-0.20034925642573853,139.6253134943836
2025-04-24 11:32:04.540,93261.78074124,787.05718105,0.37835812,0.5915193883739427,0.0003131453499872171,1695.0274755625214,0.0,137.7152065965797,-0.2003441834667683,139.67833153589163
2025-04-24 11:32:09.540,93228.67501536,766.7943208,0.37922817,0.580709613759165,0.0003207303628053569,1701.4768982968199,0.0,136.04276157929604,-0.17657622166393594,107.15727881841303
2025-04-24 11:32:14.540,93222.54895977,763.2470082,0.37922817,0.578067565513507,0.00032232042531911073,1702.943420225225,0.0,135.49397615593813,-0.1705272248723304,99.93811004189774
2025-04-24 11:32:19.540,93222.2529632,763.36365896,0.37922817,0.5780744438321506,0.00032238300315462487,1702.934210038,0.0,135.51769249585232,-0.170581546426547,99.95384019850462
2025-04-24 11:32:24.540,93215.92163904,762.35854479,0.38055113,0.5759493302336374,0.0003230098858137409,1704.0449863915183,0.0,135.22845844917302,-0.16532393625675468,93.96240600731107
2025-04-24 11:32:29.540,93192.55156057,748.52776413,0.38228555,0.5668500335478619,0.0003277351786683848,1708.4457215086204,0.0,133.60819781900068,-0.14390771795513047,71.5589831614343
